,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Leicester City,25.0,25.9,50.9,38.0,418.0,3420.0,38.0,48.0,34.0,82.0,43.0,5.0,7.0,60.0,5.0,52.4,47.3,37.6,84.9,752.0,1537.0,1.26,0.89,2.16,1.13,2.03,1.38,0.99,2.37,1.24,2.23
Liverpool,23.0,26.1,61.8,38.0,418.0,3420.0,38.0,86.0,55.0,141.0,79.0,7.0,7.0,39.0,2.0,73.7,68.4,49.8,118.2,857.0,2008.0,2.26,1.45,3.71,2.08,3.53,1.94,1.31,3.25,1.8,3.11
Manchester City,21.0,26.7,67.9,38.0,418.0,3420.0,38.0,91.0,71.0,162.0,88.0,3.0,4.0,44.0,1.0,84.3,81.3,65.5,146.7,1325.0,2429.0,2.39,1.87,4.26,2.32,4.18,2.22,1.72,3.94,2.14,3.86
Manchester Utd,28.0,26.3,54.7,38.0,418.0,3420.0,38.0,65.0,40.0,105.0,56.0,9.0,12.0,75.0,4.0,61.4,52.0,39.6,91.6,801.0,1668.0,1.71,1.05,2.76,1.47,2.53,1.62,1.04,2.66,1.37,2.41
Newcastle Utd,24.0,26.9,40.4,38.0,418.0,3420.0,38.0,41.0,33.0,74.0,40.0,1.0,3.0,57.0,2.0,39.1,36.7,27.4,64.1,467.0,985.0,1.08,0.87,1.95,1.05,1.92,1.03,0.72,1.75,0.97,1.69
Southampton,30.0,25.4,43.4,38.0,418.0,3420.0,38.0,44.0,27.0,71.0,40.0,4.0,5.0,73.0,3.0,46.9,43.4,29.3,72.7,603.0,1333.0,1.16,0.71,1.87,1.05,1.76,1.23,0.77,2.0,1.14,1.91
Tottenham,28.0,26.8,59.0,38.0,418.0,3420.0,38.0,66.0,47.0,113.0,62.0,4.0,4.0,57.0,3.0,54.9,51.8,39.1,90.9,840.0,1744.0,1.74,1.24,2.97,1.63,2.87,1.44,1.03,2.47,1.36,2.39
Watford,25.0,28.5,46.7,38.0,418.0,3420.0,38.0,51.0,39.0,90.0,50.0,1.0,1.0,79.0,4.0,48.2,47.5,34.8,82.3,588.0,1294.0,1.34,1.03,2.37,1.32,2.34,1.27,0.92,2.19,1.25,2.17
West Ham,26.0,27.6,48.6,38.0,418.0,3420.0,38.0,51.0,33.0,84.0,46.0,5.0,5.0,59.0,1.0,47.6,43.8,34.1,77.9,731.0,1478.0,1.34,0.87,2.21,1.21,2.08,1.25,0.9,2.15,1.15,2.05
Wolves,21.0,26.1,46.8,38.0,418.0,3420.0,38.0,46.0,35.0,81.0,42.0,4.0,4.0,73.0,1.0,52.1,49.0,39.4,88.4,743.0,1350.0,1.21,0.92,2.13,1.11,2.03,1.37,1.04,2.41,1.29,2.33
