,players_used,avg_age,possession,games,games_starts,minutes,minutes_90s,goals,assists,goals_assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,xg,npxg,xg_assist,npxg_xg_assist,progressive_carries,progressive_passes,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90,goals_assists_pens_per90,xg_per90,xg_assist_per90,xg_xg_assist_per90,npxg_per90,npxg_xg_assist_per90
Manchester City,24.0,26.9,66.2,38.0,418.0,3420.0,38.0,100.0,69.0,169.0,94.0,6.0,11.0,64.0,4.0,92.0,83.6,68.4,152.0,1199.0,2460.0,2.63,1.82,4.45,2.47,4.29,2.42,1.8,4.22,2.2,4.0
Manchester Utd,29.0,24.8,55.8,38.0,418.0,3420.0,38.0,65.0,43.0,108.0,55.0,10.0,14.0,73.0,0.0,62.2,51.2,38.5,89.7,926.0,1788.0,1.71,1.13,2.84,1.45,2.58,1.64,1.01,2.65,1.35,2.36
Newcastle Utd,28.0,26.5,39.0,38.0,418.0,3420.0,38.0,38.0,29.0,67.0,38.0,0.0,1.0,66.0,3.0,35.5,34.8,26.9,61.7,537.0,844.0,1.0,0.76,1.76,1.0,1.76,0.94,0.71,1.64,0.91,1.62
Norwich City,30.0,26.0,49.3,38.0,418.0,3420.0,38.0,25.0,18.0,43.0,23.0,2.0,2.0,68.0,3.0,37.0,35.4,27.4,62.8,673.0,1169.0,0.66,0.47,1.13,0.61,1.08,0.97,0.72,1.69,0.93,1.65
Sheffield Utd,26.0,26.9,43.1,38.0,418.0,3420.0,38.0,36.0,25.0,61.0,35.0,1.0,1.0,63.0,2.0,43.0,42.2,34.0,76.3,493.0,1352.0,0.95,0.66,1.61,0.92,1.58,1.13,0.9,2.03,1.11,2.01
Southampton,25.0,25.9,48.9,38.0,418.0,3420.0,38.0,51.0,32.0,83.0,49.0,2.0,5.0,55.0,4.0,56.1,52.1,36.4,88.5,628.0,1335.0,1.34,0.84,2.18,1.29,2.13,1.48,0.96,2.43,1.37,2.33
Tottenham,29.0,26.7,52.0,38.0,418.0,3420.0,38.0,56.0,39.0,95.0,53.0,3.0,4.0,84.0,3.0,47.9,44.7,32.6,77.3,768.0,1410.0,1.47,1.03,2.5,1.39,2.42,1.26,0.86,2.12,1.18,2.03
Watford,26.0,28.9,42.9,38.0,418.0,3420.0,38.0,35.0,21.0,56.0,28.0,7.0,8.0,80.0,3.0,48.9,42.6,31.4,74.0,578.0,1168.0,0.92,0.55,1.47,0.74,1.29,1.29,0.83,2.11,1.12,1.95
West Ham,29.0,27.4,44.1,38.0,418.0,3420.0,38.0,49.0,36.0,85.0,45.0,4.0,4.0,64.0,1.0,48.6,45.4,36.7,82.2,666.0,1377.0,1.29,0.95,2.24,1.18,2.13,1.28,0.97,2.24,1.2,2.16
Wolves,21.0,26.6,48.3,38.0,418.0,3420.0,38.0,49.0,34.0,83.0,45.0,4.0,4.0,61.0,2.0,54.1,51.0,37.5,88.5,858.0,1338.0,1.29,0.89,2.18,1.18,2.08,1.42,0.99,2.41,1.34,2.33
