Title,Publisher,Link,DiscountPCT,OriginalPrice,DiscountPrice,Discount_Endtime,Rating,Rating_count,Genre,ReleaseDate
"FINAL FANTASY XVI Digital Deluxe Edition (Simplified Chinese, English, Korean, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-PPSA10666_00-FF16DDXASIA00001,30%,HK$698.00,HK$488.60,14/2/2024 03:59 PM UTC,4.52,19k,"Action, Role Playing Games",21/6/2023
"FINAL FANTASY I–VI Bundle (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33839_00-FFBUNDLEPS4ASIA6,20%,HK$542.00,HK$433.60,14/2/2024 03:59 PM UTC,4.86,1.1k,Role Playing Games,19/4/2023
"FINAL FANTASY (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33819_00-FF1PS4APPASIA001,20%,HK$89.00,HK$71.20,14/2/2024 03:59 PM UTC,4.66,810,Role Playing Games,19/4/2023
"FINAL FANTASY II (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33823_00-FF2PS4APPASIA001,20%,HK$89.00,HK$71.20,14/2/2024 03:59 PM UTC,4.36,475,Role Playing Games,19/4/2023
"FINAL FANTASY III (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33827_00-FF3PS4APPASIA001,20%,HK$129.00,HK$103.20,14/2/2024 03:59 PM UTC,4.63,441,Role Playing Games,19/4/2023
"FINAL FANTASY IV (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33831_00-FF4PS4APPASIA001,20%,HK$129.00,HK$103.20,14/2/2024 03:59 PM UTC,4.78,547,Role Playing Games,19/4/2023
"FINAL FANTASY V (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33835_00-FF5PS4APPASIA001,20%,HK$129.00,HK$103.20,14/2/2024 03:59 PM UTC,4.69,488,Role Playing Games,19/4/2023
"FINAL FANTASY VI (Simplified Chinese, English, Korean, Thai, Japanese, Traditional Chinese)","SQUARE ENIX CO., LTD.",https://store.playstation.com/en-hk/product/HP0082-CUSA33839_00-FF6PS4APPASIA001,20%,HK$129.00,HK$103.20,14/2/2024 03:59 PM UTC,4.86,1.1k,Role Playing Games,19/4/2023
"Demon's Souls (Simplified Chinese, English, Korean, Thai, Traditional Chinese)",Sony Interactive Entertainment,https://store.playstation.com/en-hk/product/HP9000-PPSA01340_00-DEMONSSOULS00000,58%,HK$568.00,HK$238.56,14/2/2024 03:59 PM UTC,4.54,9.3k,Action,11/11/2020
"SWORD ART ONLINE Last Recollection PS4 & PS5 (Simplified Chinese, Korean, Traditional Chinese)",Bandai Namco Entertainment Inc.,https://store.playstation.com/en-hk/product/HP0700-PPSA06957_00-SAOLRMAINGAME000,35%,HK$479.00,HK$311.35,14/2/2024 03:59 PM UTC,4.14,743,Role Playing Games,4/10/2023
