,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
49,怪物,THE BOOK 2,https://open.spotify.com/album/2Ltmu8tslylv8YlBkyrcgY,YOASOBI,69,2021-12-01,https://open.spotify.com/track/6uhIF5J5Txaie0is2nXdxU,205480,False
50,"Stand by me, Stand by you.",Life Goes On,https://open.spotify.com/album/6CK4JBvVs10dL8xn2nNZwe,HIRAIDAI,67,2021-02-10,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh,193012,False
51,Season,PRIVATE,https://open.spotify.com/album/4iEtXGDpfraVH7Srme6iqD,iri,66,2023-05-10,https://open.spotify.com/track/4rcAJoljlgzkYsisGJ1NsT,208133,False
52,ドライフラワー,ドライフラワー,https://open.spotify.com/album/69BzgmDXpLIPQI4tUGuLZM,Yuuri,68,2020-10-25,https://open.spotify.com/track/7dH0dpi751EoguDDg3xx6J,285586,False
53,ピーターパン,壱,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,Yuuri,67,2022-01-12,https://open.spotify.com/track/5MLIlPL6L8RVqL7YSpFdgr,214213,False
54,マーメイド,マーメイド,https://open.spotify.com/album/4E6w5h2440vYWD9xgub8Gq,WEDNESDAY CAMPANELLA,66,2023-07-05,https://open.spotify.com/track/2E0zCVEO5yKPlWPSY7Rk5e,235814,False
55,向日葵,向日葵,https://open.spotify.com/album/1DTVQMng1zrycLCDzxza0y,Ado,62,2023-07-11,https://open.spotify.com/track/37EITaEG3UyWedRZrERoaK,259586,False
56,色彩,色彩,https://open.spotify.com/album/3gQJWupAma6DdzcHVBQ9Bn,yama,73,2022-10-02,https://open.spotify.com/track/1uveEvgKX4irLcp1BUTIFD,192175,False
57,小さな恋のうた,MESSAGE,https://open.spotify.com/album/2an2zDcyPnHZgodDzgxZj2,MONGOL800,69,2001-09-16,https://open.spotify.com/track/23atyJacJVHvB9RHBNhr35,222640,False
58,ともに,Everybody!!,https://open.spotify.com/album/1spFHTdEd1oA8htGJxeIac,WANIMA,66,2018-01-17,https://open.spotify.com/track/6FHgHDXiGnRfhrSok9xAz3,207368,False
59,Makuhari,Makuhari,https://open.spotify.com/album/5IZ0GS67LGTVTEJTSFvb9o,Bonbero,65,2023-04-19,https://open.spotify.com/track/6AaePXUruO3297PugyiDwT,250950,True
60,世界の秘密,世界の秘密,https://open.spotify.com/album/5lRvazxaSdC5fENYAM9W8g,Vaundy,67,2020-12-27,https://open.spotify.com/track/2ISglgxR4TxUXxrA5Iqwzr,221250,False
61,題名のない今日,Life Goes On,https://open.spotify.com/album/6CK4JBvVs10dL8xn2nNZwe,HIRAIDAI,66,2021-02-10,https://open.spotify.com/track/6skNbV22epX2yHu4O2hYSx,193709,False
62,東京フラッシュ,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,69,2020-05-27,https://open.spotify.com/track/3vXdK7DCzJyp1MIh10TJFS,258858,False
63,さよならエレジー,PLAY(Special Edition),https://open.spotify.com/album/5JP5NDPvio5ZhkXXjcHVov,SUDA MASAKI,67,2018-03-21,https://open.spotify.com/track/3oYD2O31b05fILFpv0AXRI,257066,False
64,泣き地蔵,泣き地蔵,https://open.spotify.com/album/1idyUee1P7komiLWlszJsC,Vaundy,66,2021-10-19,https://open.spotify.com/track/2WHVKDG5Lj92IUijUno1ON,149500,False
65,スパークル,Sketch,https://open.spotify.com/album/5aCgGOMefRFhsLgclMThoy,Lilas Ikuta,68,2023-03-08,https://open.spotify.com/track/3MR8qQiK1Bydhw9WjAzwzU,210500,False
66,春を告げる,春を告げる,https://open.spotify.com/album/1B4Ka4FOargLNxmbNch7xv,yama,66,2020-04-17,https://open.spotify.com/track/2Gmyw5Vg2X5YW2lM3OC7nD,196497,False
67,魔法が解けたら,魔法が解けたら,https://open.spotify.com/album/0oyywfjvWOi80lBKEM8GFa,Saucy Dog,66,2023-06-28,https://open.spotify.com/track/0fXzoBYLjGGzsKTO2IpoFQ,240880,False
68,CHAINSAW BLOOD,CHAINSAW BLOOD,https://open.spotify.com/album/6vuTbUMzsnI0ThfnXc4Cjg,Vaundy,71,2022-10-12,https://open.spotify.com/track/3lUOzabhWYyRImRszpJGOU,200997,False
69,君と羊と青,絶体絶命,https://open.spotify.com/album/17cNTH9fRan9G3GgH3CFgm,RADWIMPS,66,2011-03-09,https://open.spotify.com/track/17A3UTMUWzCRn7I42exBhF,158186,False
70,夜に駆ける,夜に駆ける,https://open.spotify.com/album/3GzwPyPZCyrqUTaurTaS23,YOASOBI,77,2019-12-15,https://open.spotify.com/track/3dPtXHP0oXQ4HCWHsOA9js,261013,False
71,ただ声一つ,ただ声一つ,https://open.spotify.com/album/4XSyWcP9Ofb0aGunNVVV6t,ロクデナシ,74,2021-12-22,https://open.spotify.com/track/2e1gUS6Wv8GS8ZT6FMeE1J,161561,False
72,ヤングアダルト,hope,https://open.spotify.com/album/5kArccOTc9R98l8GF1D0bF,Macaroni Empitsu,65,2020-04-01,https://open.spotify.com/track/3IanNVIcOMlKFr329uhNcA,258158,False
73,First Love,First Love,https://open.spotify.com/album/29U9LtzSF0ftWiLNNw1CP6,Hikaru Utada,73,1999-03-10,https://open.spotify.com/track/39HrUxcvKF3jtLz7fUDWXc,257293,False
74,グッドな音楽を,グッドな音楽を,https://open.spotify.com/album/3yp1DVS4dSKvkgJqcxXfcA,neguse.,65,2022-07-27,https://open.spotify.com/track/2vAtN2fB1zqTzfPGxqHmyO,215093,False
75,Wherever you are,Nicheシンドローム,https://open.spotify.com/album/5Txrg948JAAstSTzI0Rssa,ONE OK ROCK,65,2010-06-09,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm,295600,False
76,結,テイクミー,https://open.spotify.com/album/2qCqF1AZxEyriDxXfmLieh,Saucy Dog,66,2020-09-02,https://open.spotify.com/track/5Anr2wqdL182BsI02iCbcd,264840,False
77,欲望に満ちた青年団,ゼイタクビョウ,https://open.spotify.com/album/46tj8YcIiWYdrkS8QcDNrP,ONE OK ROCK,65,2007-11-21,https://open.spotify.com/track/6D6Pybzey0shI8U9ttRAPx,202200,False
78,灯火,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,66,2020-05-27,https://open.spotify.com/track/1JnvAinIjLd8WrEECx9neZ,178892,False
79,線香花火 - feat. 幾田りら,線香花火 (feat. 幾田りら),https://open.spotify.com/album/4cq0K1U2cesCfyNVQkgBXu,CHIAKI SATO,66,2023-06-14,https://open.spotify.com/track/5p0iFOcN4kDKBqE9Tld5eJ,199266,False
80,ヨワネハキ,ヨワネハキ,https://open.spotify.com/album/5cVWpOwex504JeWwqE3Q7y,MAISONdes,66,2021-05-19,https://open.spotify.com/track/0FOVGBW0RpVRuDuUuN4ZVw,166966,False
81,まちがいさがし,LOVE,https://open.spotify.com/album/6P7vdw5AEZECkX8dwZAt6B,SUDA MASAKI,67,2019-07-10,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo,223640,False
82,プロローグ,プロローグ,https://open.spotify.com/album/3MOKzDaMiqSc04I04oiELA,Uru,66,2018-12-05,https://open.spotify.com/track/4YMukCV1BsdK8V9kZoQpT6,302346,False
83,怪物,怪物,https://open.spotify.com/album/41HUxKwnbrg8IdelmMibj9,YOASOBI,73,2021-01-06,https://open.spotify.com/track/06XQvnJb53SUYmlWIhUXUi,206000,False
84,ベテルギウス,ベテルギウス,https://open.spotify.com/album/25FWSs9iK7hQqyK2fdKvSV,Yuuri,67,2021-11-04,https://open.spotify.com/track/2sf18cEv463VgqmdjDsFpw,230393,False
85,いばら,いばら,https://open.spotify.com/album/2oSVsWCwiLaCMCR6bqONPY,Ado,65,2023-05-09,https://open.spotify.com/track/3xWRjOUp8oDOByEJbOVh6U,261045,False
86,なぁ,なぁ,https://open.spotify.com/album/69zY0xxGpRkMHwxmtShobk,YOAKE,64,2021-06-30,https://open.spotify.com/track/0E5FxZ0spndv7NZGQdrJaZ,194344,False
87,life hack,strobo,https://open.spotify.com/album/2sBQhSi92938W2hCLALSHy,Vaundy,66,2020-05-27,https://open.spotify.com/track/0NlM3asfhPzhDwm5frXquS,226443,False
88,逆光,ウタの歌 ONE PIECE FILM RED,https://open.spotify.com/album/5WStsinR0ZOQRoCI6rQPZA,Ado,66,2022-08-09,https://open.spotify.com/track/78MS9OT9Flm2V78fhTw4rk,237666,False
89,ミズキリ,壱,https://open.spotify.com/album/1YWoHzj5wHnG7m6gLlwBQd,Yuuri,66,2022-01-12,https://open.spotify.com/track/6T8eKlvqWuPKJT7euIqoxX,208400,False
90,洗濯機と君とラヂオ,CHOSYOKU,https://open.spotify.com/album/4oal4axj41REAu9bIHvsXF,Macaroni Empitsu,64,2017-12-07,https://open.spotify.com/track/24WOKllIT2yySSqtcTFmMf,231406,False
91,W / X / Y,W / X / Y,https://open.spotify.com/album/4nghzKJpgZuRG6TLkAHODf,Tani Yuuki,65,2021-05-26,https://open.spotify.com/track/6ybLgHBGIxR8R6IIVmaipO,279100,False
92,群青,群青,https://open.spotify.com/album/4nLIK2uFzYUJqLAfJZYgLx,YOASOBI,69,2020-09-01,https://open.spotify.com/track/0T4AitQuq8IJhWBWuZwkFA,248444,False
93,恋人じゃなくなった日,弐,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,Yuuri,65,2023-03-29,https://open.spotify.com/track/57PvgLc0UuLaMEu49w8tiR,226093,False
94,何なんw,HELP EVER HURT NEVER,https://open.spotify.com/album/03QiFOKDh6xMiSTkOnsmMG,Fujii Kaze,64,2020-05-20,https://open.spotify.com/track/2Nl3vx5qRnATIckVRZxb4T,320640,False
95,少年,S,https://open.spotify.com/album/7Kl8YgPC8fI3RIDApfUB7T,SOUTH BLUE,64,2022-02-14,https://open.spotify.com/track/5m0f8vdqvEElUgJRXnOxqy,183530,False
96,damn,LOVE ALL SERVE ALL,https://open.spotify.com/album/6VJwkUQXD3DnqqUUaxqDzH,Fujii Kaze,64,2022-03-23,https://open.spotify.com/track/7dNxxkapvf5eRkw24PHSpy,259026,False
97,裸の勇者,裸の勇者,https://open.spotify.com/album/3Wu7a56Nl1iml7pwR4Fvv7,Vaundy,70,2022-01-07,https://open.spotify.com/track/3k64vNcgYPkETG7TNgpW4o,201973,False
98,grace,grace,https://open.spotify.com/album/0i6jJH5oVQh0KL8INSSPpu,Fujii Kaze,68,2022-10-09,https://open.spotify.com/track/7tnYsRepXLaNhqj4xtcWP2,289541,False
99,Super Star,Super Star,https://open.spotify.com/album/3la1sobSJKoHNVyNScStwp,Furui Riho,63,2023-05-10,https://open.spotify.com/track/4LCJXB7w5ZV0oT6cu9mv5k,202706,False
100,愛言葉,Memories,https://open.spotify.com/album/4tp4dyeVhcG7kM2jUi3Yj5,Tani Yuuki,64,2021-12-08,https://open.spotify.com/track/515q6vR077kY4BQv8F3pGj,286546,False
101,メリーゴーランド,弐,https://open.spotify.com/album/6ClMd4vNeZ6cmrRNmOqAoY,Yuuri,65,2023-03-29,https://open.spotify.com/track/2MsDVWHcrBexkP9zOIWz4R,256680,False
102,なんでもないよ、,なんでもないよ、,https://open.spotify.com/album/3N9QmFGY4WUAJCf7gyvC2S,Macaroni Empitsu,64,2021-11-03,https://open.spotify.com/track/2PFzK3kMDDYKhGnugvNYf1,218751,False
103,海のまにまに,海のまにまに,https://open.spotify.com/album/6M4p4S5t8PuRZiq7zvMEPB,YOASOBI,68,2022-11-18,https://open.spotify.com/track/0loZ1KfQSLJxYR0Y7dImKN,255918,False
104,常緑,you,https://open.spotify.com/album/1zYNXMwnOzrM188c5DRQLw,Chippoke Ohashi,64,2021-10-13,https://open.spotify.com/track/6qn31XzTa6YKXs5FZpAPgP,171546,False
105,Good Bye,Good Bye,https://open.spotify.com/album/6qdTJTp6Lya9Aias2YnPpG,Rin音,64,2023-06-08,https://open.spotify.com/track/1rpiNePakpelGxsKFzNVBP,250932,False
106,三原色,THE BOOK 2,https://open.spotify.com/album/2Ltmu8tslylv8YlBkyrcgY,YOASOBI,65,2021-12-01,https://open.spotify.com/track/0UBUg8NU4XJtQqzTPs8Pkr,220253,False
