,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
88,Lexie Liu,54,137627,https://open.spotify.com/artist/6fs2or0cKLEM2xohWq8SoX,['chinese electropop'],MAGICIAN,The Happy Star,55,2022-12-06,213062,False,https://open.spotify.com/album/6TncHvvXh96HDGtWGrsNIV,https://open.spotify.com/track/07tOPpbPKrEgTxc8HgHfZZ
89,余佳运,42,20231,https://open.spotify.com/artist/7HK4O6JubRTt8VELxLXLZm,"['chinese r&b', 'chinese singer-songwriter']",和你,幸福三部曲,54,2016-08-09,200708,False,https://open.spotify.com/album/5o9hDObnLbqEr3HJafRI7D,https://open.spotify.com/track/7Ch8CWubyrCrz3A9IqCySR
90,于冬然,47,14731,https://open.spotify.com/artist/7mJv2vnmyEbD8eyI7tMLKs,['chinese viral pop'],听说你,听说你,61,2022-07-12,239095,False,https://open.spotify.com/album/4uxaFMLh7LkIAWWAWDwulj,https://open.spotify.com/track/4PKU5mPzC5lEDOLvVJ04As
91,海鳴威,29,1052,https://open.spotify.com/artist/1odS3tOSNDmaBj5HYXQsyG,['mainland chinese pop'],我的回憶不是我的,給自己的情歌 (新曲 + 精選),50,2009-11-26,223706,False,https://open.spotify.com/album/3CFJKDglHxAZVXTDWFE8A6,https://open.spotify.com/track/07FwByWCTj3pW6dfdiNq07
92,政学Zed-X,45,7217,https://open.spotify.com/artist/7DAjUaK40De066EOFR6fxB,['chinese r&b'],是你.,是你.,66,2022-12-09,95121,False,https://open.spotify.com/album/46mCiXY4QlWCV2q34BQlG9,https://open.spotify.com/track/3fiXwwPL7cUvD7BqkHdN0J
93,王ADEN,43,23940,https://open.spotify.com/artist/4ecBfM4xa6ZLDr7P8lsyTV,['chinese r&b'],想了妳6次,想了妳6次,58,2021-07-23,223636,False,https://open.spotify.com/album/4n3QnqVIEmJe0B2aZAlrk8,https://open.spotify.com/track/0z81zrkn4dqmRLJpRePjYc
94,TFBOYS,39,202216,https://open.spotify.com/artist/1dywcVTpMrP7VmQUhngSce,"['chinese idol pop', 'mainland chinese pop', 'mandopop']",青春修炼手册,青春修炼手册,49,2017-01-01,263076,False,https://open.spotify.com/album/5sJB1R7udfChkgp5VRfY07,https://open.spotify.com/track/7FrSronLW3WJJEVMvyRcdX
95,Tiger Hu,43,92760,https://open.spotify.com/artist/3PpIzdLny8HwTnKp9joXdj,"['mainland chinese pop', 'mandopop']",你要的全拿走,覅忒好,59,2018-01-23,299333,False,https://open.spotify.com/album/4MWa1J5x4F4MYLmrweGRNG,https://open.spotify.com/track/37BXaP8wCJrH0M3AdtSNyk
96,The Fur.​,39,48719,https://open.spotify.com/artist/0neVDcSdi4GMgFduUudWve,"['chinese indie', 'taiwan pop']",Oh Why,Serene Reminder,50,2020-12-10,216128,False,https://open.spotify.com/album/2TB1J2Q397wIpztQvyH5D1,https://open.spotify.com/track/6bNSDf3jZ7ThziVCbq0Mq2
97,魏佳艺,36,2147,https://open.spotify.com/artist/3ht3MDSI7N2JrTEzbaDdn5,['chinese manyao'],我来人间一趟,我来人间一趟,49,2022-06-28,254117,False,https://open.spotify.com/album/3t3CtdXGzp5AElYF0Rn3Kw,https://open.spotify.com/track/3EVkm7h8dAVuip9hhSGDc6
98,蓝心羽,42,21506,https://open.spotify.com/artist/5IUx51U4VsEk4wGQvZQcf2,['chinese viral pop'],星辰不坠落,星辰不坠落,55,2021-03-31,158259,False,https://open.spotify.com/album/0KKRvsm1w1TnyHFTpx7AC2,https://open.spotify.com/track/7KGal7IZNO34QgmNmjLBx4
99,大籽,43,25137,https://open.spotify.com/artist/2NJLAUSe3Ifk9MiHbddRAi,['chinese viral pop'],白月光与朱砂痣,白月光与朱砂痣,65,2021-01-07,204215,False,https://open.spotify.com/album/59oQqDR4PppWowikQ1GeLA,https://open.spotify.com/track/1ghC63dL4Co6i5rVXENFh5
100,阿涵,42,80404,https://open.spotify.com/artist/0Nu7uGMynoaIdKnfLRgxJ8,"['chinese viral pop', 'mainland chinese pop', 'mandopop']",感谢你曾来过,感谢你曾来过,61,2017,250005,False,https://open.spotify.com/album/0nnT57KfesBkYeVbMaHRUL,https://open.spotify.com/track/1JLtvvPsHwLyd2ufASdkWV
