,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
47,CAMO,49,60322,https://open.spotify.com/artist/2YkhzcYyxJvtl5W6pY0PuF,['korean r&b'],Life is Wet,Life is Wet,53,2020-09-02,186000,True,https://open.spotify.com/album/5UBenAYbpBGhynO1tq6N9Z,https://open.spotify.com/track/5LuuUXI3Msm4L2iUNHi3JB
48,BlackNut,37,22940,https://open.spotify.com/artist/0T8sqjCB5w57zxvW5lp3qJ,"['k-rap', 'korean underground rap']",Grrr - Spotify Singles,Spotify Singles,52,2023-03-17,236866,False,https://open.spotify.com/album/2XAl1NxzmOcAgtXNwYjqWn,https://open.spotify.com/track/2UrBX2cG7ZSnN2SbgspmtK
49,KyoungSeo,41,87454,https://open.spotify.com/artist/4rxWm4OrS8IRQ3YxDUwnJA,"['k-pop ballad', 'korean pop']",Shiny Star(2020),Shiny Star(2020),54,2020-11-14,217253,False,https://open.spotify.com/album/6Y6861L8Iwse3spu3vOWEc,https://open.spotify.com/track/7MXtr93z4ltQzhfIxYnYWX
50,meenoi,44,84293,https://open.spotify.com/artist/5KuvNz7npsGeDJdk8QHMVH,['korean electropop'],Ghosting (Prod. CODE KUNST),Ghosting,52,2022-08-18,220693,False,https://open.spotify.com/album/24vtmVfDjVTxb9cCNRgheo,https://open.spotify.com/track/6r1Jwbd0UwCpuLzPG4y9Ub
51,Lee Moon Sae,41,120550,https://open.spotify.com/artist/2eVlgLy3Aym09gM3dqx6cq,"['classic korean pop', 'korean pop']",Talk About Love,"The Good Bad Mother (Original Television Soundtrack, Pt. 6)",52,2023-05-24,218000,False,https://open.spotify.com/album/2KFsvdLGizodPJeSc39k30,https://open.spotify.com/track/4jJG67ZARJRVBBIXMf0qpM
52,M.C the Max,38,128043,https://open.spotify.com/artist/3MaRWfwKpbYnkYHC5gRKYo,"['classic k-pop', 'korean pop']",No matter where,Pathos,48,2016-01-28,331154,False,https://open.spotify.com/album/42FCxz16YLTZ1nw5lVfpaR,https://open.spotify.com/track/7oT5JOWwxnwcZRI6NLzhWs
53,Epik High,53,712966,https://open.spotify.com/artist/5snNHNlYT2UrtZo5HCJkiw,"['k-pop', 'k-rap', 'korean old school hip hop']",Can You Hear My Heart (feat. LEE HI),"Moonlovers: Scarlet Heart Ryeo (Original Television Soundtrack), Pt 6",60,2016-09-20,248143,False,https://open.spotify.com/album/1BeWYcLEYlD2rOaa0EWdSr,https://open.spotify.com/track/7n5eQJYX7e6H5gkzgyEfQG
54,PENOMECO,53,334370,https://open.spotify.com/artist/1MAUqH0haKBYbjpknTfreY,"['k-rap', 'korean r&b']",BOLO (feat. YDG),Organic,71,2021-08-25,171520,False,https://open.spotify.com/album/56WOBbnm0qft9uNzGA4YWJ,https://open.spotify.com/track/77ILSQGJhqDVOfeWdtEexk
55,Kassy,45,87836,https://open.spotify.com/artist/6pU8o91xAS0aWNjj06nQSU,"['k-pop', 'korean pop']",Aching,"Alchemy of Souls, Pt. 2 (Original Television Soundtrack)",54,2022-07-03,251000,False,https://open.spotify.com/album/2lQsPX6qa4zqpcPwVLRCsU,https://open.spotify.com/track/017eGASA1dbhQOb942TuQx
56,Parc Jae Jung,37,20225,https://open.spotify.com/artist/7kXQtwn3ZRTBc8JYNyGwQy,"['korean ost', 'korean pop']",Let's Say Goodbye,Alone,52,2023-04-20,243853,False,https://open.spotify.com/album/3dmYqpVPhfNzIGLd3p57Y4,https://open.spotify.com/track/2KNEK9rGKQKKNE6FTt8PvQ
