,artist_name,popularity,followers,artist_link,genres,top_track,top_track_album,top_track_popularity,top_track_release_date,top_track_duration_ms,top_track_explicit,top_track_album_link,top_track_link
11,ヨルシカ,67,2142427,https://open.spotify.com/artist/4UK2Lzi6fBfUi9rpDt6cik,['j-pop'],ただ君に晴れ,負け犬にアンコールはいらない,77,2018-05-09,198971,False,https://open.spotify.com/album/4jEsFbcpgjHiu0rsTdlaOy,https://open.spotify.com/track/3wJHCry960drNlAUGrJLmz
12,RADWIMPS,70,3500219,https://open.spotify.com/artist/1EowJ1WwkMzkCkRomFhui7,"['j-pop', 'j-rock', 'japanese emo', 'visual kei']",Suzume,Suzume (Motion Picture Soundtrack),73,2022-11-10,238560,False,https://open.spotify.com/album/6Ar5HxNWXtvraqs7FI7bYq,https://open.spotify.com/track/1n1y2kFPISpF9WGD3JaFo5
13,Macaroni Empitsu,64,1052832,https://open.spotify.com/artist/1t17z3vfuc82cxSDMrvryJ,"['anime', 'j-pop', 'japanese alternative rock', 'japanese teen pop']",なんでもないよ、,ハッピーエンドへの期待は,74,2022-01-12,219252,False,https://open.spotify.com/album/2pJn8hcJhOliBQipPHKsaz,https://open.spotify.com/track/5W7Y92LB4jWvu9NeEQ0GZl
14,HIRAIDAI,63,1426230,https://open.spotify.com/artist/7JthQ6zwNzfxRfIEjp6wUs,"['j-pop', 'japanese singer-songwriter', 'japanese teen pop']","Stand by me, Stand by you.",Life Goes On,67,2021-02-10,193012,False,https://open.spotify.com/album/6CK4JBvVs10dL8xn2nNZwe,https://open.spotify.com/track/7DyS11kB1YNrfDzQqtjmTh
15,Fujii Kaze,72,2399516,https://open.spotify.com/artist/6bDWAcdtVR3WHz2xtiIPUi,['japanese teen pop'],Shinunoga E-Wa,HELP EVER HURT NEVER,87,2020-05-20,185573,False,https://open.spotify.com/album/1OojCidx0eoPKch2M0Kz31,https://open.spotify.com/track/0o9zmvc5f3EFApU52PPIyW
16,King Gnu,65,2826162,https://open.spotify.com/artist/6wxfx1yhyqjCPYwwxJktR2,"['j-pop', 'j-rock']",カメレオン,カメレオン,72,2022-02-28,193990,False,https://open.spotify.com/album/2dZ3LDlFGj0D4dvb1iDx7z,https://open.spotify.com/track/0J0P8iSE6l3pYHbUdNFYdS
17,Saucy Dog,63,905879,https://open.spotify.com/artist/4WqXqPmUuenMIr4QaFrZXN,"['j-indie', 'j-pop', 'japanese alternative rock']",Cinderella Boy,Lazy Sunday,55,2021-08-25,234323,False,https://open.spotify.com/album/2EqGqT6xIeNpaJJe5yjFr3,https://open.spotify.com/track/4UALTBWz0OdQcjbTsjFceV
18,サザンオールスターズ,62,1386651,https://open.spotify.com/artist/79nkC8XZ5ohEVU0Xlf5Ael,"['classic j-pop', 'j-pop']",真夏の果実,真夏の果実,67,1990-07-25,279300,False,https://open.spotify.com/album/6yqQMQGUPlrEHUC8WHHwp1,https://open.spotify.com/track/3AVLsBieDGotYuo5RPEL64
19,ONE OK ROCK,68,5038425,https://open.spotify.com/artist/7k73EtZwoPs516ZxE72KsO,"['j-pop', 'j-rock', 'japanese emo']",Wherever you are,Niche Syndrome,67,2010-06-09,295600,False,https://open.spotify.com/album/4OKBuE9F8MTCV7nnsBRcsK,https://open.spotify.com/track/0YAMQSmHk6BSUGTYpaoqTJ
20,Mr.Children,61,3069048,https://open.spotify.com/artist/1qma7XhwZotCAucL7NHVLY,"['classic j-pop', 'j-pop', 'j-rock']",HANABI,SUPERMARKET FANTASY,66,2008-12-10,342773,False,https://open.spotify.com/album/47B04gMM1xS01Jq1ib24Sp,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
21,Tani Yuuki,61,417798,https://open.spotify.com/artist/0B1ce3uNrzkdm76NXI4mhX,"['j-pop', 'japanese teen pop']",W / X / Y,Memories,60,2021-12-08,278118,False,https://open.spotify.com/album/1aYWdnbKO3asqDUruOl2cY,https://open.spotify.com/track/3cBghvTcQNDNkW98Y4eGaP
22,Creep Hyp,61,727780,https://open.spotify.com/artist/6POfB0fHdzXFLWL3RHxLv8,"['j-pop', 'j-rock']",栞,泣きたくなるほど嬉しい日々に,67,2018-09-26,261546,False,https://open.spotify.com/album/4uSVHc1t7GkuQOdAm7mcXq,https://open.spotify.com/track/2Bsg6EfrmEx0x0eC8v4vuG
23,B'z,61,620849,https://open.spotify.com/artist/7i9bNUSGORP5MIgrii3cJc,['j-pop'],イチブトゼンブ,MAGIC,63,2009-11-18,249796,False,https://open.spotify.com/album/5VbMiMMnFcLAI64OY6kxJC,https://open.spotify.com/track/3IYcbagYZ9z1Svaw8B33Pd
24,SEKAI NO OWARI,62,2163971,https://open.spotify.com/artist/7HwzlRPa9Ad0I8rK0FPzzK,"['anime', 'j-pop']",Habit,Habit,71,2022-04-28,253153,False,https://open.spotify.com/album/690rpRAbQW5LNPrbP27M9U,https://open.spotify.com/track/2uMNMcjjUz8oNIxjIu20qE
25,ARASHI,61,2185567,https://open.spotify.com/artist/1XYuC1vxinTjHCNd5clB8C,['j-pop'],Love So Sweet,Time,43,2007-07-11,289845,False,https://open.spotify.com/album/1HTcyUSPm6hs3EQ006sGea,https://open.spotify.com/track/0cdyZ4VMs900wQLHRIyy97
26,milet,64,615291,https://open.spotify.com/artist/45ft4DyTCEJfQwTBHXpdhM,['j-pop'],絆ノ奇跡,絆ノ奇跡,83,2023-04-10,223320,False,https://open.spotify.com/album/1xml9CR90tJdvTESDk4Q4s,https://open.spotify.com/track/2VBLFxCUyFp5BfmsZpxcis
27,Aimer,66,2288220,https://open.spotify.com/artist/0bAsR2unSRpn6BQPEnNlZm,"['anime', 'anime rock', 'j-pixie', 'j-pop', 'j-poprock']",残響散歌,残響散歌,79,2021-12-06,184893,False,https://open.spotify.com/album/1gfSftIuafqkGu28ely5z6,https://open.spotify.com/track/7v8wKvNQQIxkugCFFjrkaO
28,Hikaru Utada,63,3060771,https://open.spotify.com/artist/7lbSsjYACZHn1MSDXPxNF2,"['anime', 'classic j-pop', 'j-pop', 'japanese singer-songwriter']",First Love,First Love,73,1999-03-10,257293,False,https://open.spotify.com/album/29U9LtzSF0ftWiLNNw1CP6,https://open.spotify.com/track/39HrUxcvKF3jtLz7fUDWXc
29,DREAMS COME TRUE,59,1426971,https://open.spotify.com/artist/2mJOGcLR3aCHkM1uAF93or,"['classic j-pop', 'j-pop']",何度でも,TOKYO - DRIVING -,33,2021-03-30,221973,False,https://open.spotify.com/album/7H3HTshoInP8pcBf9dKWbe,https://open.spotify.com/track/3Iy943Mi0DkbmYaSbMTKZJ
30,Nogizaka46,60,1197802,https://open.spotify.com/artist/08lN7bm4Etec8ETFxaTUmq,"['j-idol', 'j-pop', 'j-pop girl group']",月の大きさ,バレッタ TypeD,59,2013-11-27,236293,False,https://open.spotify.com/album/2NkG7Ei5PObrNHHcTgXLgF,https://open.spotify.com/track/4bY2oZGA5Br3pTE1Jd1IfY
31,BE:FIRST,60,238481,https://open.spotify.com/artist/4wCW8kZ8LL7QIdcE8EOKPP,['j-pop boy group'],Boom Boom Back,Boom Boom Back,72,2023-02-13,188400,False,https://open.spotify.com/album/6LVDreY2ztRLwqdkjcBjnd,https://open.spotify.com/track/37xJCjdzJ17S1jCDz3GwsB
32,Lilas Ikuta,60,476054,https://open.spotify.com/artist/1qM11R4ylJyQiPJ0DffE9z,"['j-pop', 'japanese teen pop']",スパークル,Sketch,68,2023-03-08,210500,False,https://open.spotify.com/album/5aCgGOMefRFhsLgclMThoy,https://open.spotify.com/track/3MR8qQiK1Bydhw9WjAzwzU
33,ZUTOMAYO,63,1549590,https://open.spotify.com/artist/38WbKH6oKAZskBhqDFA8Uj,['j-pop'],花一匁,沈香学,62,2023-06-06,250613,False,https://open.spotify.com/album/1mtciArMoiLPqOdflY5dWQ,https://open.spotify.com/track/7xwmx6snj1GphKH9ihzo8e
34,MAN WITH A MISSION,64,1002451,https://open.spotify.com/artist/3NTbOmzlj2cL86XFuDVFvZ,"['anime rock', 'j-pop', 'j-rock']",絆ノ奇跡,絆ノ奇跡,83,2023-04-10,223320,False,https://open.spotify.com/album/1xml9CR90tJdvTESDk4Q4s,https://open.spotify.com/track/2VBLFxCUyFp5BfmsZpxcis
35,imase,67,341845,https://open.spotify.com/artist/4TaSvnT5o4REFwhqfrmK27,['japanese teen pop'],NIGHT DANCER,POP CUBE,79,2022-11-09,210600,False,https://open.spotify.com/album/3mlVZ7OTZgKJJAr275tHZX,https://open.spotify.com/track/3gmn76fCtpDazGMnN0QMHX
36,Shota Shimizu,59,1435566,https://open.spotify.com/artist/2ZjWbNQAjL74Pf4aqikIz2,['j-pop'],Fallin,Insomnia,58,2023-06-28,233866,False,https://open.spotify.com/album/3OWVzVs8Kkngnks5Or0WFZ,https://open.spotify.com/track/1tpk0IGfeMshahOQgQQWb5
37,Sheena Ringo,61,1531884,https://open.spotify.com/artist/2XjqKvB2Xz9IdyjWPIHaXi,"['j-pop', 'j-rock']",W●RK,W●RK,77,2023-04-01,201073,False,https://open.spotify.com/album/0uKLHZitWwrvekNjznMAaB,https://open.spotify.com/track/1L50ymp25Vmu7VnPRx5TWf
